"song"
"We Are The Champions - Remastered 2011"
"Under Pressure - Remastered"
"Another One Bites The Dust - Remastered 2011"
"Killer Queen - Remastered 2011"
"Somebody To Love - Remastered 2011"
"I Want To Break Free - Single Remix"
"Thank God It's Christmas - 2011 Remaster"
"Radio Ga Ga - Live Aid"
"Don't Stop Me Now - Remastered"
"Crazy Little Thing Called Love - Remastered 2011"
"Love Of My Life - Remastered 2011"
"Thank God It's Christmas - Non-Album Single"
"Bohemian Rhapsody - Remastered 2011"
"We Will Rock You - Remastered"
